index,Moderna,Pfizer,Janssen
Muscle Aches,0.08518237503932491,0.07408826373305602,0.13039188046236255
Discomfort at Injection Site,0.06103225567666599,0.025705580792877603,0.03453622779813927
Fever,0.08612617280752077,0.08140404648532283,0.17874259937975753
Fatigue,0.07085885596905823,0.06277707843029938,0.09853397237101776
Headache,0.04904047226900087,0.04568259354532684,0.09656047363969551
Chills,0.05322279179081,0.045007571196613944,0.10530025373555117
Dizziness,0.035623739289745916,0.04699615054822761,0.10121229207781224
Mental Side Effects,0.027203582730351426,0.029646251801579915,0.05074711023400057
