index,Moderna,Pfizer,Janssen
Muscle Aches,0.125,0.16615737203972497,0.06666666666666667
Discomfort at Injection Site,0.18269230769230768,0.11268143621084797,0.06666666666666667
Fever,0.16346153846153846,0.39877769289533993,0.26666666666666666
Fatigue,0.07692307692307693,0.23911382734912145,0.06666666666666667
Headache,0.0673076923076923,0.1779984721161192,0.06666666666666667
Chills,0.0673076923076923,0.13368983957219252,0.06666666666666667
Dizziness,0.028846153846153848,0.3521772345301757,0.06666666666666667
Mental Side Effects,0.028846153846153848,0.13407181054239878,0.06666666666666667
