index,Moderna,Pfizer,Janssen
Muscle Aches,0.322781753523291,0.32354522241634187,0.5349794238683128
Discomfort at Injection Site,0.4457566843745884,0.14809837387447924,0.1550068587105624
Fever,0.30636168064275365,0.26179276978900684,0.4060356652949246
Fatigue,0.2562233832374764,0.2595081306276038,0.41358024691358025
Headache,0.21152917416692277,0.21945975003359763,0.4074074074074074
Chills,0.1901918602098608,0.1713479371052278,0.3120713305898491
Dizziness,0.1015498090178689,0.14809837387447924,0.25102880658436216
Mental Side Effects,0.07090486016595689,0.09246069076736997,0.17146776406035666
