demographic_category,demographic_value,administered_date,total_doses,cumulative_total_doses,pfizer_doses,cumulative_pfizer_doses,moderna_doses,cumulative_moderna_doses,jj_doses,cumulative_jj_doses,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,booster_recip_count,cumulative_booster_recip_count
Gender,Male,2020-08-24,23,264,16,139,7,125,0,0,0,10,2,6,21,257,0,0
Gender,Female,2020-08-24,20,289,9,137,11,152,0,0,0,3,1,2,19,286,0,0
Gender,Male,2020-08-25,29,293,22,161,7,132,0,0,0,10,2,8,27,284,0,0
Gender,Female,2020-08-25,18,307,12,149,6,158,0,0,1,4,1,3,17,303,0,0
Gender,Male,2020-08-26,44,337,27,188,17,149,0,0,0,10,6,14,38,322,0,0
Gender,Female,2020-08-26,25,332,15,164,10,168,0,0,1,5,3,6,22,325,0,0
Gender,Male,2020-08-27,30,367,23,211,7,156,0,0,0,10,2,16,28,350,0,0
Gender,Female,2020-08-27,33,365,21,185,12,180,0,0,0,5,8,14,25,350,0,0
Gender,Male,2020-08-28,34,401,23,234,11,167,0,0,0,10,6,22,28,378,0,0
Gender,Female,2020-08-28,30,395,17,202,13,193,0,0,1,6,6,20,24,374,0,0
Gender,Male,2020-08-29,10,411,5,239,5,172,0,0,0,10,0,22,10,388,0,0
Gender,Female,2020-08-29,4,399,2,204,2,195,0,0,0,6,1,21,3,377,0,0
Gender,Female,2020-08-30,5,404,5,209,0,195,0,0,0,6,1,22,4,381,0,0
Gender,Male,2020-08-31,50,461,30,269,20,192,0,0,0,10,9,31,41,429,0,0
Gender,Female,2020-08-31,47,451,35,244,12,207,0,0,1,7,13,35,33,414,0,0
Gender,Female,2020-09-01,62,513,40,284,22,229,0,0,1,8,19,54,43,457,0,0
Gender,Male,2020-09-01,53,514,36,305,17,209,0,0,0,10,15,46,37,466,0,0
Gender,Male,2020-09-02,30,544,24,329,6,215,0,0,1,11,9,55,21,487,0,0
Gender,Female,2020-09-02,38,551,32,316,6,235,0,0,0,8,11,65,26,483,0,0
Gender,Male,2020-09-03,38,582,24,353,14,229,0,0,1,12,5,60,33,520,0,0
Gender,Female,2020-09-03,35,586,24,340,11,246,0,0,0,8,6,71,29,512,0,0
Gender,Female,2020-09-04,41,627,29,369,12,258,0,0,0,8,15,86,26,538,0,0
Gender,Male,2020-09-04,37,619,32,385,5,234,0,0,0,12,10,70,27,547,0,0
Gender,Female,2020-09-05,7,634,1,370,6,264,0,0,0,8,0,86,7,545,0,0
Gender,Male,2020-09-05,8,627,1,386,7,241,0,0,1,13,0,70,8,555,0,0
Gender,Female,2020-09-06,1,635,1,371,0,264,0,0,0,8,0,86,1,546,0,0
Gender,Female,2020-09-07,3,638,1,372,2,266,0,0,0,8,1,87,2,548,0,0
Gender,Male,2020-09-08,53,680,35,421,18,259,0,0,0,13,28,98,24,579,0,0
Gender,Female,2020-09-08,47,685,23,395,24,290,0,0,2,10,23,110,24,572,0,0
Gender,Female,2020-09-09,45,730,35,430,10,300,0,0,0,10,29,139,16,588,0,0
Gender,Male,2020-09-09,51,731,36,457,15,274,0,0,0,13,21,119,30,609,0,0
Gender,Female,2020-09-10,37,767,22,452,15,315,0,0,0,10,20,159,17,605,0,0
Gender,Male,2020-09-10,41,772,28,485,13,287,0,0,0,13,17,136,24,633,0,0
Gender,Female,2020-09-11,41,808,30,482,11,326,0,0,3,13,16,175,25,630,0,0
Gender,Male,2020-09-11,35,807,27,512,8,295,0,0,0,13,14,150,21,654,0,0
